Experimental conditions [cargo]	A	IMAX	Tau
1_MS2_S37P_0NLS	0.24	0.39	0.022
2_MS2_S37P_14NLS	0.65	0.94	0.054
3_MS2_S37P_19NLS	1.12	12.44	0.041
4_MS2_S37P_23NLS	0.64	16.63	0.053
5_MS2_S37P_29NLS	0.33	28.91	0.022
6_MS2_S37P_38NLS	1.45	43.59	0.037
7_MS2_S37P_54NLS	2.33	49.76	0.029
8_I53-47_0NLS	0.18	1.58	0.018
9_I53-47_15NLS	0.80	3.71	0.085
10_I53-47_18NLS	3.81	3.89	0.056
11_I53-47_22NLS	2.34	2.95	0.080
12_I53-47_22NLS	2.01	5.35	0.060
13_I53-47_25NLS	1.83	2.91	0.094
14_I53-47_30NLS	2.27	7.22	0.063
15_I53-47_35NLS	1.18	16.82	0.048
16_I53-47_37NLS	1.21	6.67	0.053
17_I53-47_37NLS	2.16	13.80	0.059
18_I53-47_41NLS	1.13	13.92	0.057
19_I53-47_44NLS	0.31	11.78	0.038
20_MS2_0NLS	0.07	0.18	0.038
21_MS2_42NLS	0.47	0.52	0.106
22_MS2_54NLS	0.19	1.07	0.241
23_MS2_57NLS	0.07	1.83	0.074
24_MS2_77NLS	0.47	1.31	0.072
25_MS2_86NLS	0.55	2.67	0.042
26_MS2_93NLS	0.38	2.04	0.051
27_MS2_98NLS	0.27	3.82	0.033
